热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.251986318,0.081616272,0.999256918,1,0.083508781,0.0835084,0.077013073,0.077011323,0.000121918,0.000118095,0.001404844,0.001406617,0.066812191,0.066652599,0.057458229,0.057457895,0.066185316,0.066028408,0.074379959,0.074337216,0.002731733,0,0.097637366,0.091990619
0.251985192,0.081605248,0.999256043,1,0.083508417,0.083507977,0.077012683,0.077010933,0.000121945,0.000118122,0.001404864,0.001406637,0.066807478,0.066657275,0.057458022,0.057457688,0.066184672,0.066024332,0.074380081,0.074337726,0.002731692,0,0.097642027,0.091990186
0.251981866,0.08161699,0.999244015,1,0.083507087,0.083506757,0.077011608,0.077009867,0.000121999,0.000118204,0.001404844,0.001406644,0.066805724,0.066653088,0.057457128,0.057456794,0.066203238,0.066044282,0.074379408,0.074337224,0.002731735,0,0.097636332,0.091989172
0.251978026,0.081603289,0.999222658,1,0.083505813,0.083505204,0.077010241,0.077008466,0.000121886,0.000118229,0.001404791,0.001406619,0.066804703,0.066650045,0.057456192,0.057455858,0.066176629,0.066022221,0.074376086,0.074336285,0.00273174,0,0.097626161,0.091987355
0.251981368,0.081616222,0.999232453,1,0.083506979,0.083506429,0.077011365,0.077009616,0.00012186,0.000118259,0.001404838,0.001406639,0.066813358,0.066647425,0.057456983,0.057456653,0.066181091,0.066031419,0.07437795,0.074337541,0.002731752,0,0.097628636,0.091988532
0.251985269,0.081606194,0.999242255,1,0.083507318,0.083506963,0.077011809,0.077010084,0.000121888,0.000118038,0.001404819,0.001406592,0.066808557,0.066651762,0.057457387,0.057457058,0.066165262,0.066006725,0.074378023,0.074335305,0.002731685,0,0.097638175,0.091989227
0.251974035,0.081610829,0.999215834,1,0.083504974,0.083504535,0.077009569,0.077007845,0.000121857,0.000118145,0.001404778,0.001406579,0.066808495,0.066654118,0.057455662,0.057455332,0.066174057,0.066018158,0.074376105,0.074334994,0.002731717,0,0.097627169,0.091986636
0.251977913,0.081607827,0.999230359,1,0.083506609,0.083506246,0.077011067,0.077009325,0.000121943,0.000118231,0.001404806,0.001406607,0.066808272,0.06665065,0.057456779,0.057456445,0.066198338,0.066043045,0.074378336,0.07433703,0.002731716,0,0.097628992,0.091988381
0.251982555,0.081611578,0.999245568,1,0.083507583,0.08350722,0.077011967,0.077010226,0.000121999,0.000118287,0.001404878,0.001406678,0.066807396,0.066649882,0.057457457,0.057457124,0.066198118,0.066042963,0.074379536,0.074338374,0.002731774,0,0.09763858,0.09198957
0.251969908,0.081610397,0.999205562,1,0.083504246,0.083503772,0.077008845,0.077007095,0.000121939,0.000118061,0.001404765,0.00140651,0.066803026,0.06664873,0.057455102,0.057454743,0.066167846,0.066007734,0.07437533,0.074332309,0.00273169,0,0.097625466,0.091985825
