热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.16096515,0.048572522,0.998936098,1,0.081147563,0.081146265,0.07692508,0.076889495,0.000307675,0.000311599,0.001525085,0.001525057,0.040597282,0.040829275,0.050853905,0.050853959,0.039648837,0.03989202,0.074943309,0.074985471,0.002892533,0,0.097495075,0.091338759
0.160967523,0.048571719,0.998942708,1,0.08114724,0.081146136,0.076924862,0.076889251,0.000307565,0.000311627,0.00152517,0.001525197,0.040556299,0.040795725,0.050854433,0.050854488,0.03962675,0.039866619,0.074942397,0.074986718,0.002892509,0,0.097499889,0.091338776
0.160960487,0.048567406,0.998894129,1,0.081142765,0.081141601,0.076920418,0.076884801,0.000307687,0.000311693,0.001525116,0.001525116,0.040604967,0.040843301,0.050851958,0.050852013,0.039681214,0.039923334,0.074938878,0.074981822,0.002892271,0,0.097484883,0.091333367
0.160967759,0.048568698,0.998907805,1,0.081144146,0.081142704,0.076921342,0.0768857,0.000307554,0.00031156,0.001525196,0.001525196,0.040582422,0.040824406,0.050853068,0.050853122,0.039625056,0.03986414,0.074938808,0.074982436,0.002892235,0,0.097485232,0.091334274
0.160976418,0.048568901,0.998947365,1,0.0811463,0.08114533,0.07692376,0.076888116,0.000307785,0.000311792,0.00152536,0.001525388,0.040609722,0.040850885,0.050855173,0.050855228,0.039697887,0.039939134,0.074942682,0.074986253,0.0028922,0,0.097495623,0.09133732
0.160974421,0.04856831,0.99891873,1,0.081143554,0.08114239,0.076920909,0.076885266,0.000307609,0.000311616,0.001525365,0.001525365,0.040604838,0.040845137,0.050853731,0.05085379,0.039622216,0.039863569,0.074937679,0.074981113,0.002892076,0,0.097488328,0.091333983
0.160978818,0.048566521,0.998918057,1,0.081143393,0.081142094,0.07692055,0.076884941,0.000307775,0.000311781,0.001525474,0.001525474,0.040588216,0.040829459,0.050854178,0.050854233,0.039680312,0.039920779,0.074939346,0.07498267,0.002892018,0,0.09748149,0.091333508
0.16098383,0.04856666,0.998917518,1,0.081143206,0.081141798,0.076920205,0.076884563,0.000307664,0.000311781,0.001525473,0.001525528,0.040619335,0.040858752,0.050854426,0.050854481,0.039657575,0.039901441,0.074937122,0.074981551,0.002891878,0,0.097481352,0.091332877
0.160989809,0.048566872,0.998935379,1,0.081144197,0.081142764,0.076921025,0.076885407,0.000307779,0.000311703,0.001525661,0.001525634,0.040590638,0.040830392,0.05085567,0.05085575,0.039650114,0.039890445,0.074939346,0.07498198,0.002891865,0,0.097486006,0.091333874
0.160992631,0.04856596,0.998934441,1,0.081143034,0.081142014,0.076920203,0.076884586,0.000307888,0.000311867,0.001525761,0.001525761,0.040616169,0.04085816,0.050855763,0.050855817,0.039696293,0.039935325,0.074939448,0.07498252,0.002891763,0,0.09748695,0.091333198
