热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.251978179,0.081615839,0.99923178,1,0.083506691,0.083506141,0.07701099,0.077009274,0.00012197,0.000117981,0.001404834,0.001406551,0.066804208,0.066654177,0.057456758,0.057456429,0.066178482,0.066016624,0.074378835,0.074334545,0.002731632,0,0.097625831,0.091988054
0.251981623,0.081607803,0.999244214,1,0.083507547,0.083507217,0.077012009,0.077010243,0.000121916,0.000118204,0.001404851,0.001406624,0.066804051,0.066656344,0.057457562,0.057457233,0.066182418,0.066020638,0.074379103,0.074337441,0.002731694,0,0.097635538,0.091989262
0.251978008,0.081611191,0.99923327,1,0.083506392,0.083505952,0.077010843,0.077009042,0.000121832,0.000118064,0.001404775,0.001406575,0.066811235,0.066651568,0.057456611,0.057456278,0.066161054,0.066006146,0.074376978,0.074334954,0.002731735,0,0.097632783,0.091988038
0.251978426,0.081609473,0.999227454,1,0.083506304,0.083505865,0.07701076,0.077008959,0.000121887,0.000118119,0.001404774,0.001406546,0.066806536,0.06665451,0.057456543,0.057456209,0.066185884,0.066027125,0.07437765,0.07433593,0.00273165,0,0.097625373,0.091987834
0.25198559,0.081609106,0.999255025,1,0.083509046,0.083508361,0.077013037,0.077011287,0.000121807,0.000118206,0.001404815,0.001406644,0.066812325,0.066652289,0.057458257,0.057457923,0.066177693,0.066025329,0.074378817,0.074338592,0.002731704,0,0.097635848,0.09199055
0.251984478,0.081615675,0.999254151,1,0.083508061,0.083507757,0.077012511,0.077010761,0.000121917,0.000118067,0.001404834,0.001406607,0.066810097,0.066653774,0.057457839,0.057457505,0.066182808,0.066024823,0.074379501,0.074336529,0.002731741,0,0.097640474,0.091990031
0.251982482,0.08160437,0.999247935,1,0.083507409,0.083507045,0.077011854,0.077010138,0.000121972,0.000118149,0.001404849,0.001406622,0.066806425,0.066655835,0.057457404,0.05745707,0.066187092,0.066027004,0.074379307,0.074337037,0.002731801,0,0.097638619,0.091989383
0.251975442,0.081614909,0.999217997,1,0.083505127,0.083504653,0.077009679,0.077007929,0.000121996,0.000118201,0.001404808,0.001406609,0.066803771,0.06665089,0.057455663,0.057455329,0.06620138,0.066042518,0.074377487,0.074335328,0.002731665,0,0.097626505,0.091986801
0.251975964,0.081602622,0.999211641,1,0.083505189,0.083504554,0.077009611,0.077007886,0.000121802,0.000118256,0.001404779,0.001406635,0.066805957,0.066648612,0.057455722,0.057455388,0.066171379,0.066018274,0.074375207,0.074335762,0.002731635,0,0.09762417,0.091986467
0.251985169,0.081617453,0.999249215,1,0.083508154,0.083507689,0.077012501,0.077010777,0.000121917,0.000118261,0.00140486,0.00140666,0.066813867,0.066648235,0.057457824,0.057457519,0.066186189,0.066035796,0.0743793,0.074338433,0.00273171,0,0.097636643,0.091989945
0.251982304,0.081605233,0.999232525,1,0.083506335,0.08350598,0.077010902,0.077009178,0.000121859,0.000118009,0.001404803,0.001406576,0.066807162,0.06665372,0.057456711,0.057456382,0.066158972,0.065999908,0.074376919,0.074334455,0.002731736,0,0.097634447,0.091988204
0.251978347,0.081612225,0.999229144,1,0.083506513,0.083505989,0.077010887,0.077009137,0.000121887,0.000118203,0.001404802,0.001406603,0.066810082,0.066653487,0.057456619,0.057456285,0.066182033,0.066026461,0.074377572,0.074336351,0.002731708,0,0.097626117,0.09198821
0.251985718,0.081610355,0.999262529,1,0.083509111,0.083508832,0.077013427,0.077011685,0.000121946,0.000118234,0.001404878,0.00140665,0.066809762,0.066652161,0.057458584,0.057458254,0.06619931,0.066044008,0.074380665,0.074339384,0.002731772,0,0.09763872,0.091991349
0.25197841,0.081610217,0.999230972,1,0.083506166,0.083505828,0.077010715,0.07700894,0.00012197,0.000118285,0.001404827,0.001406628,0.066806027,0.066648515,0.057456461,0.057456157,0.066198062,0.066042879,0.074378403,0.074337013,0.002731757,0,0.097634133,0.09198809
0.251977355,0.081612809,0.999230495,1,0.083506849,0.08350624,0.077011095,0.077009371,0.00012186,0.000118009,0.001404806,0.001406551,0.066804971,0.066653473,0.0574568,0.05745647,0.066160768,0.066000268,0.074377164,0.074334396,0.002731743,0,0.097626305,0.091988569
0.251979853,0.081606893,0.999245632,1,0.083508004,0.08350748,0.077012262,0.077010537,0.000121889,0.000118205,0.001404827,0.001406628,0.066811939,0.066655645,0.057457671,0.057457341,0.066168864,0.066013264,0.074378925,0.074337737,0.002731729,0,0.097637058,0.091989828
0.251976596,0.081607116,0.999230095,1,0.083505858,0.083505554,0.077010499,0.077008758,0.000121969,0.00011823,0.001404796,0.001406569,0.066806368,0.066649744,0.057456325,0.057456021,0.066203835,0.066047347,0.074378117,0.074336178,0.002731751,0,0.097634706,0.091988041
