热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.160903184,0.048593129,0.998913603,1,0.081154712,0.081153337,0.076933877,0.076898367,0.000307297,0.000311221,0.001523582,0.001523554,0.040452805,0.040693039,0.050855427,0.050855482,0.039669019,0.039904197,0.074953702,0.074996203,0.002894136,0,0.097514964,0.091348048
0.160908075,0.048593581,0.998930923,1,0.081155881,0.081154498,0.076934976,0.076899406,0.00030733,0.000311337,0.001523662,0.00152369,0.040472908,0.040713673,0.050855946,0.050856001,0.039665623,0.039903622,0.074953629,0.074997952,0.002894102,0,0.097520413,0.091349363
0.160911093,0.048593108,0.99893268,1,0.081154992,0.081154056,0.076934481,0.07689892,0.000307163,0.000311446,0.001523712,0.001523823,0.040464342,0.040693828,0.050855579,0.050855634,0.03963371,0.039884914,0.074952104,0.074998139,0.002894064,0,0.097527284,0.091349071
0.16090702,0.048590345,0.998903776,1,0.081152297,0.081151133,0.076931657,0.076896123,0.000307319,0.000311436,0.001523744,0.001523772,0.040486113,0.040712167,0.050853677,0.050853732,0.039664843,0.039914525,0.074950882,0.074994351,0.002893939,0,0.097515666,0.091345898
0.160913417,0.048591504,0.998930256,1,0.081154635,0.081153337,0.076933618,0.076898083,0.000307411,0.000311141,0.001523872,0.001523789,0.040475699,0.04071475,0.050854957,0.050855041,0.039633411,0.039865607,0.074953594,0.074994299,0.00289397,0,0.097516312,0.091348285
0.160917839,0.048590219,0.998936729,1,0.08115458,0.0811535,0.076933716,0.076898121,0.000307495,0.000311418,0.001523933,0.001523933,0.040490355,0.040735319,0.050855063,0.050855118,0.039681083,0.039913668,0.074953431,0.074996177,0.002893925,0,0.097523333,0.091348402
0.160918476,0.048589453,0.998928178,1,0.081153245,0.081152056,0.076932279,0.07689666,0.000307213,0.000311248,0.001523881,0.001523909,0.040488642,0.040730035,0.050854068,0.050854123,0.039598417,0.039837465,0.074949294,0.07499289,0.002893852,0,0.097519995,0.091347126
0.160916437,0.048586413,0.998917933,1,0.081152343,0.081151129,0.07693128,0.076895661,0.000307432,0.000311438,0.00152395,0.001523978,0.040501259,0.040740305,0.050853525,0.050853605,0.039682335,0.03992265,0.074950682,0.074993899,0.002893853,0,0.097509913,0.091345802
0.160921194,0.048587136,0.998927974,1,0.081153197,0.081151814,0.07693181,0.076896215,0.000307269,0.000311303,0.001523994,0.001523994,0.040527622,0.040766059,0.050853829,0.050853884,0.039620732,0.039860966,0.074948896,0.074992451,0.002893746,0,0.097514697,0.091346303
0.160925293,0.048585704,0.998941391,1,0.081153179,0.081152184,0.076932066,0.076896472,0.000307465,0.000311444,0.001524116,0.001524116,0.040515105,0.040752908,0.050854121,0.050854205,0.039671269,0.039911922,0.074951214,0.074994516,0.002893711,0,0.097519936,0.091346988
0.16092204,0.048584179,0.998914236,1,0.081150877,0.081149578,0.076929561,0.076894001,0.000307539,0.000311545,0.001524181,0.001524208,0.040550155,0.040788338,0.050852448,0.050852503,0.039686341,0.039926928,0.074949323,0.074992734,0.002893653,0,0.097508252,0.091344029
0.160927288,0.048585487,0.998928519,1,0.081152059,0.081150727,0.076930611,0.076895051,0.000307544,0.000311606,0.001524262,0.001524318,0.040544995,0.040782744,0.050853214,0.050853268,0.039673127,0.03991532,0.074949538,0.074994189,0.002893592,0,0.09751029,0.09134516
0.160931049,0.048585308,0.998932301,1,0.081151347,0.081150243,0.076930075,0.07689449,0.000307322,0.000311328,0.001524312,0.001524312,0.040521416,0.040754159,0.050853165,0.05085322,0.039585303,0.03982932,0.074947129,0.074989967,0.002893526,0,0.0975143,0.091344714
0.160930979,0.048581446,0.998914039,1,0.081149847,0.081148548,0.076928407,0.076892822,0.000307565,0.000311516,0.00152434,0.00152434,0.040527784,0.040767156,0.050852441,0.050852496,0.03968442,0.039922438,0.074947875,0.07499104,0.002893419,0,0.097503859,0.091342616
0.160936456,0.048582232,0.99892974,1,0.081150954,0.081149655,0.076929287,0.076893693,0.000307597,0.000311383,0.001524446,0.001524391,0.04056586,0.040808579,0.050853124,0.050853179,0.039655283,0.039888355,0.074948277,0.074989504,0.002893381,0,0.09750561,0.091343579
0.16094206,0.048582198,0.998947737,1,0.08115182,0.081150597,0.07693006,0.076894441,0.00030738,0.000311581,0.001524496,0.001524551,0.040536642,0.040778205,0.050853948,0.050854003,0.03963785,0.039878527,0.074947336,0.074992653,0.002893339,0,0.097513115,0.091344664
