热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.251974502,0.081605449,0.999228201,1,0.083506016,0.083505652,0.077010695,0.077008895,0.000121914,0.000118202,0.001404684,0.001406512,0.06681011,0.06665205,0.057456364,0.057456059,0.066172258,0.066017519,0.074377141,0.074335929,0.002732053,0,0.097634709,0.091990187
0.251977937,0.081605877,0.999231846,1,0.083506987,0.083506514,0.077011466,0.077009666,0.000121998,0.000118259,0.001404726,0.001406526,0.066806569,0.066650388,0.057456939,0.057456609,0.066199072,0.066042777,0.074378638,0.074337247,0.002732081,0,0.09762987,0.091990998
0.251987223,0.081611778,0.999265703,1,0.083510099,0.083509465,0.077014177,0.077012411,0.000121836,0.000118291,0.001404748,0.001406577,0.066811444,0.066650214,0.057458987,0.057458657,0.066181235,0.06603023,0.074379513,0.074339897,0.002732123,0,0.097642607,0.091994243
0.251979846,0.081605467,0.999244489,1,0.083507391,0.083506977,0.077011885,0.077010118,0.000121971,0.000118093,0.001404761,0.001406506,0.066809709,0.066653387,0.057457284,0.057456979,0.066164559,0.066005938,0.074378662,0.07433542,0.002732124,0,0.097642872,0.091991643
0.251976784,0.081606728,0.999227255,1,0.08350607,0.083505689,0.077010675,0.077008874,0.000121997,0.00011823,0.001404711,0.001406484,0.066804999,0.06665286,0.057456323,0.057455989,0.066193958,0.066035145,0.074377983,0.074336069,0.002732108,0,0.097631419,0.091990239
0.251975471,0.081606348,0.999232657,1,0.083507292,0.083506599,0.077011544,0.077009744,0.000122026,0.000118286,0.001404727,0.001406528,0.066804866,0.066650595,0.057456997,0.057456667,0.066199888,0.06604207,0.074379187,0.074337441,0.002732084,0,0.09762958,0.091991091
0.251979048,0.081609887,0.999248404,1,0.083508176,0.083507762,0.077012552,0.077010752,0.000121834,0.000118122,0.001404691,0.001406491,0.066808622,0.066650693,0.057457774,0.057457444,0.066163163,0.066008336,0.074377749,0.074336502,0.002732093,0,0.097640791,0.091992412
0.251973223,0.081604342,0.999230635,1,0.083506188,0.083505833,0.07701081,0.077009009,0.000121997,0.000118202,0.001404713,0.001406514,0.066808471,0.066654616,0.057456456,0.057456126,0.066172943,0.066014658,0.074377869,0.074335811,0.002732112,0,0.097639665,0.091990479
0.251971565,0.081605456,0.999221037,1,0.083505733,0.083505209,0.077010232,0.077008431,0.000121996,0.000118174,0.001404676,0.001406448,0.066804391,0.066650427,0.057455993,0.057455659,0.066192829,0.066033907,0.07437742,0.074334729,0.00273212,0,0.097629302,0.091989853
0.251974632,0.08160718,0.999227927,1,0.08350671,0.083506102,0.077011074,0.077009299,0.000121832,0.000118147,0.001404664,0.001406493,0.066807083,0.066654837,0.057456635,0.057456301,0.066165875,0.0660095,0.07437676,0.074336207,0.002732041,0,0.097631882,0.091990676
0.251980044,0.081605168,0.999246039,1,0.083508069,0.083507545,0.077012385,0.077010618,0.000122,0.000118288,0.001404743,0.001406543,0.066809948,0.066650912,0.057457602,0.057457297,0.066194658,0.066040026,0.07437939,0.074338202,0.002732114,0,0.097642347,0.091992241
0.2519758,0.081609168,0.999235298,1,0.08350657,0.083506181,0.077011147,0.077009431,0.000122026,0.000118147,0.001404721,0.001406466,0.066805899,0.066649414,0.05745669,0.057456356,0.066191451,0.066032193,0.07437875,0.074335195,0.002732127,0,0.0976373,0.091991068
0.251974111,0.081603658,0.999224077,1,0.083506134,0.083505551,0.077010602,0.077008852,0.000122052,0.000118119,0.00140471,0.001406483,0.066801524,0.066656373,0.057456294,0.057455964,0.066182732,0.066018517,0.074378606,0.074335365,0.002732133,0,0.097628858,0.09199027
0.251984658,0.081611301,0.999260771,1,0.083509168,0.083508863,0.077013684,0.077011883,0.000121919,0.000118262,0.001404738,0.001406566,0.066805232,0.066654559,0.057458582,0.057458252,0.066181013,0.066024633,0.074378955,0.074338984,0.002732213,0,0.097642364,0.091993967
0.251978778,0.081605571,0.999242325,1,0.083507188,0.083506884,0.077011835,0.07701006,0.000121916,0.000118259,0.001404704,0.001406532,0.06681313,0.066648474,0.057457231,0.057456898,0.06617491,0.066023078,0.074378387,0.074336861,0.002732175,0,0.097639022,0.091991902
0.251975013,0.081606589,0.999226644,1,0.083506467,0.083505892,0.077010862,0.077009112,0.000121942,0.000118091,0.001404659,0.00140646,0.066805685,0.066653246,0.057456488,0.057456158,0.066172985,0.066013118,0.074377116,0.074334923,0.00273217,0,0.097629357,0.091990657
0.251979296,0.081607179,0.999242998,1,0.083507783,0.083507336,0.077012192,0.077010426,0.000121916,0.000118232,0.001404711,0.001406512,0.066810444,0.066652934,0.057457487,0.057457154,0.066181334,0.066026563,0.074378764,0.074337373,0.00273219,0,0.097639466,0.091992256
0.251978139,0.081605903,0.999245232,1,0.083507363,0.083507059,0.077011906,0.077010139,0.000122027,0.000118259,0.001404734,0.001406507,0.066807123,0.066650831,0.057457274,0.05745694,0.06619688,0.066039336,0.074379375,0.074336852,0.002732152,0,0.097640717,0.091992133
0.251978821,0.081610122,0.999242254,1,0.083507674,0.083507318,0.07701212,0.077010379,0.000121916,0.000118121,0.001404711,0.001406484,0.066805585,0.066655054,0.057457452,0.057457119,0.066165311,0.066006051,0.074377611,0.074336111,0.002732244,0,0.097634232,0.091992343
0.251976001,0.08160328,0.999239622,1,0.083507058,0.083506754,0.077011625,0.077009883,0.000121971,0.000118231,0.001404701,0.001406502,0.066810814,0.066652388,0.057457089,0.057456759,0.066181898,0.066026575,0.074378461,0.074336859,0.00273217,0,0.097641603,0.091991772
0.251971123,0.081607896,0.99922131,1,0.083505319,0.08350493,0.077009948,0.077008207,0.000122024,0.000118284,0.001404699,0.001406499,0.066805197,0.066649408,0.057455802,0.057455469,0.066199538,0.066042891,0.074377365,0.074335764,0.002732194,0,0.097634243,0.091989825
0.251975594,0.081604769,0.999229685,1,0.083506428,0.08350609,0.077011017,0.077009301,0.000122025,0.000118286,0.001404719,0.001406492,0.066804848,0.066649027,0.057456647,0.057456318,0.066196437,0.066039728,0.074378649,0.074337124,0.002732178,0,0.097633001,0.091991081
0.251979991,0.081610716,0.999246446,1,0.083507832,0.083507417,0.077012325,0.07701055,0.000121861,0.000118343,0.001404713,0.001406569,0.066808205,0.066648142,0.057457616,0.057457282,0.066172944,0.066023021,0.074377498,0.074338635,0.002732193,0,0.097644139,0.091992628
