热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.251969211,0.081603702,0.999215968,1,0.083505527,0.083504944,0.077010017,0.077008241,0.000122024,0.00011809,0.001404615,0.001406332,0.066803944,0.066651282,0.057455881,0.057455552,0.066170003,0.06600773,0.074377384,0.074333501,0.002732331,0,0.097628738,0.091991162
0.251976475,0.081608794,0.999242051,1,0.083507868,0.083507344,0.077012262,0.077010461,0.000121999,0.000118287,0.001404628,0.001406429,0.066804366,0.066655051,0.057457557,0.057457223,0.066184394,0.066026131,0.074378386,0.074337443,0.002732383,0,0.097638727,0.091993818
0.251977935,0.081606676,0.999250909,1,0.083507902,0.083507564,0.077012465,0.077010639,0.000121944,0.000118149,0.001404632,0.001406377,0.066810747,0.06665193,0.057457679,0.057457349,0.066165259,0.066008717,0.074378717,0.074336117,0.002732363,0,0.097644944,0.09199428
0.25197057,0.081604664,0.999219281,1,0.083505493,0.083505028,0.077010095,0.077008294,0.000122024,0.000118256,0.001404589,0.001406361,0.066804701,0.066653231,0.057455856,0.057455552,0.066189734,0.066030453,0.074377291,0.074335157,0.002732362,0,0.097631711,0.091991449
0.251968929,0.081605408,0.999216913,1,0.083505657,0.083505133,0.077010189,0.077008414,0.000122024,0.000118257,0.001404563,0.001406364,0.066803367,0.066650152,0.057455919,0.057455585,0.066194685,0.066036761,0.074377186,0.074335771,0.002732311,0,0.097631178,0.091991347
0.251983095,0.081610726,0.999279695,1,0.083511099,0.08351049,0.07701521,0.077013384,0.000121893,0.000118347,0.001404654,0.00140651,0.066812186,0.066651478,0.057459701,0.057459368,0.066175983,0.066025556,0.074380565,0.074341092,0.00273246,0,0.097649752,0.09199739
0.251977916,0.081607867,0.999251721,1,0.083507807,0.083507451,0.077012382,0.077010607,0.000122,0.000118232,0.001404631,0.001406404,0.066810363,0.066648364,0.057457636,0.057457306,0.066180863,0.066025124,0.074379194,0.074336392,0.002732361,0,0.097647805,0.091994102
0.251973973,0.081605414,0.999234625,1,0.08350629,0.083505901,0.077010954,0.077009204,0.000122053,0.000118175,0.001404632,0.001406377,0.06680373,0.066655636,0.057456581,0.057456248,0.066180362,0.066018281,0.07437829,0.074335682,0.002732392,0,0.097639453,0.09199256
0.251973201,0.081606023,0.999223603,1,0.083506343,0.083505565,0.077010668,0.077008867,0.000121858,0.000118285,0.001404544,0.001406372,0.066806474,0.066649601,0.057456342,0.057456008,0.066180838,0.066025821,0.074376263,0.074336158,0.002732271,0,0.097629977,0.091991914
0.251976801,0.081607274,0.999242658,1,0.083508187,0.083507494,0.077012423,0.077010648,0.000122,0.000118315,0.001404631,0.001406432,0.066810931,0.066648377,0.057457648,0.057457343,0.066185475,0.066033612,0.074379015,0.074338148,0.002732361,0,0.097639041,0.091993816
0.251979901,0.081608317,0.999252733,1,0.083508179,0.08350779,0.077012673,0.077010898,0.000122056,0.000118122,0.001404663,0.001406381,0.066806329,0.066654186,0.057457864,0.05745753,0.066178901,0.066018702,0.074379865,0.074336124,0.002732453,0,0.097646316,0.091994309
0.251973509,0.081605578,0.999227932,1,0.083506058,0.083505669,0.077010713,0.077008913,0.00012208,0.000118257,0.001404627,0.001406399,0.066802535,0.066653528,0.057456364,0.05745603,0.066189225,0.066027673,0.074378253,0.074335764,0.002732382,0,0.097636006,0.091992068
0.251972668,0.081606259,0.999226847,1,0.083506527,0.083505952,0.077011029,0.077009169,0.000122081,0.00011823,0.001404605,0.001406377,0.066802497,0.066650526,0.057456567,0.057456233,0.06619708,0.066037218,0.074378829,0.074336145,0.00273231,0,0.097631468,0.0919923
0.251979477,0.081609986,0.9992555,1,0.083508924,0.083508485,0.077013333,0.077011507,0.000121918,0.000118123,0.001404619,0.00140642,0.066805556,0.066656239,0.057458318,0.057457985,0.066165463,0.066004514,0.074378957,0.074336797,0.002732392,0,0.097642735,0.091995147
0.251977592,0.081606744,0.999258073,1,0.083508363,0.083508084,0.077012969,0.077011143,0.000122028,0.000118261,0.001404613,0.001406441,0.066811078,0.066653038,0.057458066,0.057457732,0.06617437,0.066018934,0.074379603,0.074337966,0.002732463,0,0.097646042,0.091994903
0.251970449,0.081606026,0.99922658,1,0.083506007,0.083505627,0.077010647,0.077008872,0.000121941,0.000118313,0.001404543,0.001406399,0.066805649,0.066649081,0.057456323,0.057455993,0.066191261,0.06603583,0.074376851,0.074336214,0.002732354,0,0.09763252,0.091992109
0.251976703,0.081608027,0.999246444,1,0.08350808,0.083507666,0.077012559,0.077010758,0.000122,0.000118343,0.001404606,0.001406434,0.066812016,0.066647966,0.057457723,0.05745739,0.066181272,0.066030541,0.074378918,0.074338474,0.002732366,0,0.0976383,0.091994308
0.251979376,0.081608486,0.999260572,1,0.083508778,0.083508474,0.077013303,0.077011528,0.000122057,0.000118372,0.001404647,0.001406475,0.066808067,0.06664875,0.057458305,0.057457975,0.0661977,0.066043814,0.074380499,0.074339497,0.002732448,0,0.097646726,0.091995366
0.251967138,0.081606273,0.999212863,1,0.083504703,0.083504289,0.077009444,0.077007694,0.000122023,0.000118338,0.001404577,0.001406377,0.066803139,0.066644633,0.057455455,0.057455121,0.066193245,0.066038869,0.074376577,0.074335611,0.002732339,0,0.097632745,0.091990722
0.251968724,0.081605435,0.999212993,1,0.083505569,0.08350491,0.077010036,0.077008236,0.000121885,0.00011809,0.001404559,0.001406332,0.066808123,0.066652858,0.057455884,0.057455555,0.06613601,0.065978834,0.074375359,0.074333116,0.002732275,0,0.097628858,0.091991209
0.251975064,0.081606042,0.999243542,1,0.083507273,0.083506968,0.077011913,0.077010113,0.000122027,0.000118315,0.001404594,0.001406395,0.06680666,0.066651999,0.057457316,0.057456982,0.066196057,0.066039541,0.074378598,0.074337715,0.002732344,0,0.097645385,0.091993703
0.251971753,0.081605791,0.999230704,1,0.083506078,0.083505689,0.07701071,0.07700891,0.000121886,0.000118174,0.001404545,0.001406318,0.06681002,0.06664805,0.057456363,0.05745603,0.066165879,0.066012747,0.074376328,0.074334668,0.002732412,0,0.097637874,0.09199235
0.251973041,0.081605926,0.999228876,1,0.083506389,0.083505941,0.077010965,0.077009165,0.000121997,0.000118202,0.001404549,0.001406322,0.066805702,0.066654784,0.057456498,0.057456164,0.066182447,0.066022607,0.074377961,0.074335802,0.00273231,0,0.097632356,0.091992579
0.251974608,0.081605588,0.99924273,1,0.083507377,0.083507014,0.077011955,0.07701018,0.000122082,0.000118287,0.001404623,0.001406396,0.06680495,0.066651651,0.057457262,0.057456929,0.066200024,0.066041403,0.074379475,0.074337341,0.002732373,0,0.097643028,0.091993786
0.251969072,0.08160752,0.999225094,1,0.083505753,0.083505305,0.077010407,0.077008606,0.000122024,0.00011834,0.001404566,0.001406394,0.06680251,0.0666491,0.057456125,0.057455765,0.066192808,0.066035767,0.074377009,0.074336211,0.0027324,0,0.097637171,0.091991986
0.251968185,0.081604259,0.999215968,1,0.083505417,0.083504918,0.077010099,0.077008298,0.000121885,0.000118145,0.001404532,0.001406333,0.066809952,0.066648148,0.057455905,0.057455571,0.066149611,0.065996091,0.074375554,0.0743337,0.002732332,0,0.097630958,0.091991503
0.251982918,0.081609945,0.999268341,1,0.083509879,0.083509439,0.077014266,0.077012465,0.00012203,0.000118263,0.001404636,0.001406409,0.066808851,0.066657014,0.057459004,0.057458674,0.066188644,0.066029629,0.074381185,0.074339218,0.002732453,0,0.097646943,0.091996537
0.251974483,0.081605141,0.999242124,1,0.083506948,0.083506678,0.077011668,0.077009868,0.000122082,0.000118314,0.001404618,0.001406391,0.066804981,0.06665079,0.057457104,0.057456774,0.066199723,0.066042045,0.074379198,0.074337309,0.002732446,0,0.097644407,0.091993528
