热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.251970954,0.081612816,0.999219146,1,0.083505614,0.083505006,0.077010049,0.077008299,0.000122051,0.000118062,0.001404644,0.001406361,0.066802801,0.066650913,0.057455844,0.05745551,0.066174288,0.066012183,0.074377439,0.074333226,0.002732306,0,0.097629199,0.091990757
0.251977068,0.081605834,0.999236375,1,0.083507374,0.083506875,0.077011773,0.077009997,0.00012186,0.000118259,0.00140462,0.001406448,0.066807315,0.066654624,0.057457185,0.057456851,0.06616275,0.066006898,0.074377168,0.074337215,0.002732311,0,0.097636812,0.091992765
0.251983562,0.081615687,0.999265303,1,0.083509148,0.083508903,0.077013642,0.077011867,0.000122029,0.000118123,0.001404709,0.001406454,0.066810015,0.06665361,0.057458522,0.057458188,0.066183856,0.066025152,0.074380606,0.074337169,0.002732405,0,0.097647188,0.091995219
0.251972582,0.081605477,0.999231583,1,0.083506239,0.083505774,0.077010782,0.077009007,0.00012208,0.000118257,0.001404656,0.001406429,0.066803357,0.066654655,0.057456398,0.057456065,0.06619052,0.066029187,0.074378318,0.074335821,0.002732358,0,0.09763779,0.091991856
0.251968097,0.081610743,0.999208197,1,0.083504844,0.083504294,0.077009443,0.077007643,0.000122023,0.000118283,0.001404604,0.001406404,0.0668014,0.066649542,0.057455325,0.057454991,0.066195057,0.06603702,0.074376248,0.074335146,0.002732282,0,0.097628502,0.091989973
0.251981831,0.081611546,0.999259961,1,0.083509156,0.083508776,0.077013574,0.077011799,0.000121835,0.000118234,0.001404652,0.001406453,0.066811819,0.066649957,0.057458481,0.057458151,0.066163279,0.066011054,0.074379129,0.074337856,0.002732347,0,0.097643468,0.091995056
0.251978439,0.081610057,0.999248746,1,0.083507815,0.083507485,0.077012386,0.077010611,0.000122027,0.000118177,0.001404685,0.001406458,0.066807579,0.066655606,0.057457601,0.057457271,0.06617772,0.066017492,0.074379149,0.074336904,0.002732387,0,0.097642699,0.091993826
0.25197366,0.081610372,0.999225226,1,0.083506306,0.083505757,0.077010767,0.077008991,0.000121886,0.000118257,0.001404573,0.001406429,0.066807198,0.06665063,0.057456331,0.057455997,0.066179841,0.066026185,0.074376358,0.074336144,0.00273233,0,0.097630466,0.091991779
0.251977135,0.081608295,0.99924293,1,0.083507936,0.083507412,0.077012293,0.077010543,0.000121999,0.000118343,0.001404684,0.001406485,0.066810374,0.066649317,0.057457525,0.057457191,0.066190681,0.066037491,0.074378999,0.074338141,0.002732357,0,0.097639459,0.091993517
0.251976672,0.081614108,0.999245841,1,0.083507538,0.083507124,0.077012027,0.077010277,0.000122054,0.000118176,0.001404679,0.001406424,0.066806931,0.06665011,0.057457297,0.057456964,0.066184416,0.066025241,0.074379098,0.074335695,0.002732375,0,0.097642251,0.091993428
0.251969245,0.081605145,0.999218132,1,0.083505499,0.08350489,0.077009991,0.077008215,0.000121885,0.000118173,0.001404587,0.001406387,0.066804116,0.066654502,0.057455807,0.057455477,0.066163527,0.066005848,0.074375583,0.074334972,0.002732358,0,0.0976307,0.091990852
0.251969061,0.081610756,0.999215426,1,0.083505676,0.083505017,0.07701011,0.077008309,0.000121968,0.000118256,0.001404588,0.001406417,0.066808432,0.066648876,0.057455822,0.057455488,0.066190253,0.066035736,0.074376866,0.07433562,0.002732306,0,0.097628993,0.091990854
