热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.160976434,0.048624873,0.998905008,1,0.08115963,0.08115866,0.0769383,0.076902924,0.000305979,0.000310151,0.001522294,0.001522405,0.039990626,0.040222467,0.050875984,0.050876038,0.039616232,0.03985796,0.074956851,0.075001866,0.002893077,0,0.097514278,0.091346285
0.160975197,0.048624751,0.998923806,1,0.081161415,0.081160496,0.076940068,0.07690475,0.000306206,0.000310075,0.00152241,0.00152241,0.040022592,0.040254548,0.050876603,0.050876657,0.039643792,0.039884341,0.074960406,0.075002302,0.002893196,0,0.097520503,0.091348572
0.160972008,0.048625075,0.998940185,1,0.081162357,0.08116164,0.076941263,0.076905919,0.000306294,0.00031019,0.001522459,0.001522432,0.04002802,0.040265726,0.050876739,0.050876819,0.03964485,0.039877167,0.074961961,0.075003959,0.002893347,0,0.097528144,0.091350408
0.160959639,0.048622393,0.998892471,1,0.081158921,0.081157951,0.076937878,0.076902511,0.000306279,0.000310259,0.001522389,0.001522417,0.040048751,0.040286666,0.050873784,0.050873864,0.039657832,0.039891741,0.074958533,0.075001329,0.002893324,0,0.0975152,0.091346249
0.160960299,0.048624126,0.998926366,1,0.081162022,0.081160917,0.07694075,0.076905373,0.000306152,0.000310325,0.001522389,0.0015225,0.040051966,0.040280499,0.050875101,0.050875156,0.03962138,0.039865304,0.07495909,0.075004435,0.002893457,0,0.09752558,0.091349803
0.160957553,0.048623152,0.998935872,1,0.081162004,0.081161372,0.076941257,0.076905939,0.000306348,0.000310189,0.00152248,0.001522453,0.040067718,0.040299292,0.050874886,0.050874966,0.039630278,0.03987072,0.074961273,0.07500289,0.002893611,0,0.097533606,0.091350812
0.160945651,0.048620139,0.998896786,1,0.081159067,0.08115819,0.076938326,0.076902984,0.000306253,0.000310342,0.001522393,0.001522421,0.040081648,0.040314786,0.050872337,0.050872391,0.03963411,0.039871696,0.07495723,0.075001325,0.002893553,0,0.097519697,0.091347535
0.16094212,0.048620117,0.998912214,1,0.081160854,0.081159715,0.076939805,0.076904462,0.000306397,0.000310431,0.001522449,0.001522477,0.040108658,0.040339726,0.050872632,0.050872687,0.03965865,0.039901271,0.074959802,0.075003408,0.002893607,0,0.097521041,0.091349395
0.160938956,0.048620799,0.998926841,1,0.081161441,0.08116064,0.076940764,0.076905421,0.000306511,0.000310296,0.00152255,0.001522495,0.040116838,0.040353466,0.050872594,0.050872648,0.039641348,0.039877588,0.07496126,0.075002355,0.002893752,0,0.09753119,0.091350937
0.160931547,0.04861932,0.998911882,1,0.081160142,0.081159231,0.076939527,0.07690416,0.000306478,0.000310429,0.001522525,0.001522525,0.040118378,0.040361077,0.050871162,0.050871216,0.039647512,0.039877748,0.074959644,0.075002256,0.002893786,0,0.097525114,0.091349788
0.160925044,0.048618019,0.998901029,1,0.081159715,0.081158526,0.076938966,0.07690354,0.000306365,0.00031051,0.001522457,0.00152254,0.040132593,0.040365176,0.050870176,0.05087026,0.039624564,0.039867759,0.074957226,0.075002325,0.002893735,0,0.097519935,0.09134901
0.16092809,0.048618706,0.998944836,1,0.08116272,0.081161835,0.076942125,0.076906731,0.000306571,0.000310578,0.001522603,0.001522631,0.040165481,0.040396749,0.050871677,0.050871757,0.039662794,0.039906467,0.074962183,0.075005235,0.002893966,0,0.097534151,0.091353348
0.160915394,0.048615904,0.998888161,1,0.081158384,0.081157169,0.076937785,0.076902392,0.000306609,0.000310422,0.001522571,0.001522516,0.040160008,0.040399915,0.05086816,0.050868219,0.039626869,0.039859423,0.074957788,0.074999184,0.002893883,0,0.097519181,0.091348125
0.160917723,0.04861652,0.998924077,1,0.081161453,0.08116018,0.076940749,0.076905322,0.000306483,0.000310628,0.001522575,0.001522631,0.040172596,0.040408557,0.050869585,0.05086964,0.039631944,0.03987194,0.074959039,0.075003642,0.002893968,0,0.09752496,0.091351759
0.16091535,0.048615352,0.998928596,1,0.081161019,0.081160109,0.076940727,0.0769053,0.000306676,0.000310545,0.001522659,0.001522631,0.040198806,0.040434772,0.05086897,0.050869025,0.039643404,0.039882431,0.074960458,0.075002345,0.002894052,0,0.097533979,0.091352181
0.160910531,0.048613647,0.998912896,1,0.081159742,0.081158637,0.076939329,0.076903928,0.000306726,0.00031065,0.00152266,0.001522632,0.040211124,0.040451171,0.050867394,0.050867474,0.039658574,0.039892819,0.074959373,0.075001926,0.002894085,0,0.097524016,0.091350785
0.160909969,0.048614084,0.998928527,1,0.081161036,0.081159982,0.07694068,0.076905286,0.000306566,0.000310766,0.001522661,0.001522744,0.040225167,0.040459332,0.050867709,0.050867764,0.03963273,0.039875519,0.074958756,0.075003965,0.002894083,0,0.097529876,0.091352548
0.160906223,0.048612396,0.998921121,1,0.081159806,0.081158861,0.076939648,0.076904221,0.000306755,0.000310845,0.001522724,0.001522779,0.040241909,0.040471235,0.050866488,0.050866543,0.039659373,0.039906028,0.074959259,0.07500317,0.002894156,0,0.097531795,0.091351648
0.16090584,0.04861224,0.998926578,1,0.081160535,0.081159321,0.076940095,0.076904727,0.00030684,0.000310599,0.00152279,0.001522734,0.04024799,0.040484617,0.050866206,0.05086626,0.039632903,0.039868475,0.074960224,0.07500115,0.002894204,0,0.097524796,0.091352229
0.160904054,0.048608833,0.998921993,1,0.081160216,0.081159001,0.076939813,0.07690442,0.000306922,0.000310819,0.00152284,0.001522813,0.040255415,0.040497539,0.050865533,0.050865587,0.03966597,0.039898092,0.074960395,0.075002695,0.002894195,0,0.097527498,0.091351854
0.160907513,0.048610917,0.998949964,1,0.081161848,0.081160878,0.07694165,0.076906197,0.000306764,0.000310937,0.001522879,0.001522934,0.040277877,0.040516356,0.050866235,0.05086629,0.039643624,0.039883346,0.07495977,0.075005032,0.002894296,0,0.097538465,0.091354376
0.160905341,0.048611667,0.998941883,1,0.081160509,0.081159675,0.076940507,0.076905021,0.000306871,0.000310933,0.001522912,0.001522968,0.040279736,0.040507105,0.050865018,0.050865073,0.039639581,0.039888669,0.074959616,0.075003258,0.002894366,0,0.097537224,0.091353442
0.160900075,0.048606375,0.998916681,1,0.081158326,0.081157356,0.076938271,0.07690282,0.000306945,0.000310758,0.001522926,0.001522871,0.040291342,0.040529228,0.050863062,0.050863117,0.039635476,0.039870133,0.074958329,0.074999608,0.002894258,0,0.097528046,0.091351146
0.160897443,0.048601984,0.998906568,1,0.081157948,0.081156733,0.076937647,0.07690217,0.000306833,0.000310922,0.001522862,0.001522917,0.0403133,0.040552075,0.050862172,0.050862252,0.039648571,0.039886017,0.074956029,0.075000403,0.002894187,0,0.097522187,0.091350272
0.160898335,0.04860177,0.998925037,1,0.081158867,0.081157821,0.076938665,0.076903163,0.000306948,0.000310844,0.001522994,0.001522967,0.040313797,0.040549312,0.050862403,0.050862487,0.039628524,0.03986885,0.07495804,0.07500007,0.002894256,0,0.097532625,0.091351776
0.160897312,0.048600234,0.998917692,1,0.081158322,0.081157048,0.0769379,0.076902423,0.00030689,0.00031098,0.001522955,0.00152301,0.040343907,0.040582076,0.050861427,0.050861482,0.039652673,0.039891391,0.07495616,0.075000652,0.002894316,0,0.097522887,0.091351042
0.160896179,0.048599527,0.998917355,1,0.081158215,0.081156858,0.076937745,0.076902234,0.000306973,0.000311035,0.001523037,0.001523065,0.040350112,0.040580709,0.050860858,0.050860912,0.03965244,0.039899173,0.074957025,0.075001045,0.002894232,0,0.097523273,0.091350764
0.160899906,0.048600193,0.998939126,1,0.081159302,0.081158222,0.07693903,0.076903544,0.000307062,0.000311124,0.001523149,0.001523177,0.040375134,0.040607586,0.050861234,0.050861319,0.039671036,0.039915041,0.074958518,0.075002757,0.002894287,0,0.097533565,0.091352649
0.160897554,0.048598719,0.998913049,1,0.081156749,0.08115567,0.076936628,0.076901143,0.000306887,0.000311087,0.001523104,0.001523186,0.040366391,0.040592174,0.050859309,0.050859364,0.039621529,0.039872294,0.074954244,0.074999233,0.002894256,0,0.097525331,0.091350072
