热功率,电功率,主回路1冷却剂流量,主回路2冷却剂流量,主回路1热管段冷却剂温度,主回路2热管段冷却剂温度,主回路1冷管段冷却剂温度,主回路2冷管段冷却剂温度,主回路1蒸汽发生器二次侧压力,主回路2蒸汽发生器二次侧压力,主回路1蒸汽发生器水位,主回路2蒸汽发生器水位,主回路1蒸汽发生器给水流量,主回路2蒸汽发生器给水流量,主回路1蒸汽发生器给水温度,主回路2蒸汽发生器给水温度,主回路1蒸汽发生器蒸汽出口流量,主回路2蒸汽发生器蒸汽出口流量,主回路1蒸汽发生器蒸汽出口温度,主回路2蒸汽发生器蒸汽出口温度,稳压器压力,稳压器水位,稳压器蒸汽空间温度,稳压器水空间温度
0.251976248,0.081608361,0.999232731,1,0.083506329,0.083505881,0.077010824,0.077009049,0.000121831,0.000118313,0.001404715,0.001406571,0.066810357,0.066646696,0.057456533,0.057456199,0.066172778,0.066023911,0.074376603,0.074337217,0.00273206,0,0.097636333,0.091990022
0.25197484,0.081610274,0.999216982,1,0.083505727,0.083504983,0.07700999,0.077008223,0.000121941,0.000118118,0.001404727,0.001406472,0.06680856,0.066647004,0.057455892,0.057455558,0.066174175,0.066017637,0.074376915,0.07433375,0.002732057,0,0.097625572,0.091988911
0.251982522,0.081610528,0.999249551,1,0.083508546,0.083508047,0.077012786,0.077011019,0.000122001,0.000118205,0.00140478,0.001406553,0.066805905,0.0666567,0.057458041,0.057457707,0.066185125,0.066023982,0.074380221,0.074337976,0.002732021,0,0.097637424,0.091992267
0.251982954,0.081612588,0.999261316,1,0.083508789,0.083508451,0.077013135,0.077011368,0.000122029,0.000118123,0.001404786,0.001406531,0.066805515,0.066654178,0.057458272,0.057457942,0.066194208,0.066033424,0.074380803,0.0743374,0.002732116,0,0.097644021,0.091992963
0.251971873,0.081609168,0.999215632,1,0.083505061,0.083504588,0.077009631,0.077007805,0.000121802,0.000118173,0.001404666,0.001406494,0.066806664,0.066653809,0.057455614,0.057455284,0.066156879,0.065999066,0.074374953,0.074334316,0.002732018,0,0.097630196,0.091988708
0.251971157,0.081605747,0.999207114,1,0.083504982,0.08350434,0.077009427,0.077007627,0.000121967,0.000118228,0.001404689,0.00140649,0.066806909,0.066649206,0.057455443,0.057455113,0.066188595,0.066033191,0.074376566,0.074335008,0.002731954,0,0.097625003,0.091988214
0.251981466,0.081613525,0.999246578,1,0.083508458,0.083507739,0.077012538,0.077010762,0.000121834,0.000118177,0.001404719,0.001406519,0.066809933,0.066650313,0.057457727,0.057457423,0.066182895,0.066029231,0.074378098,0.074337375,0.002732038,0,0.097638421,0.091991959
0.251982272,0.081609798,0.999256516,1,0.083508428,0.083508124,0.077012944,0.077011169,0.000121945,0.00011815,0.001404754,0.001406527,0.066810224,0.066656643,0.05745805,0.057457745,0.066168307,0.066009878,0.074379648,0.07433715,0.002732108,0,0.097645318,0.09199267
0.251978229,0.081610283,0.999234556,1,0.08350631,0.083505955,0.077010939,0.077009163,0.000121998,0.00011823,0.001404745,0.001406518,0.066805693,0.066651478,0.057456534,0.0574562,0.066197921,0.06604005,0.07437821,0.074336415,0.002732092,0,0.09763986,0.091990379
0.251979629,0.081609314,0.999227726,1,0.083506394,0.083505811,0.077010782,0.077009007,0.000121914,0.000118258,0.001404714,0.001406543,0.066805557,0.066649293,0.057456447,0.057456113,0.066190694,0.066035068,0.074377206,0.074336593,0.002732031,0,0.097628638,0.091990193
