,F1,TT1,PT1,F2,TT2,TT3,TT4
3746,72.33040692992735,50.03497839274489,0.21963639882731822,76.48843221135442,19.709940351081908,36.705362717171134,29.30911689302006
3747,72.29988390937383,50.0809757766942,0.21938318766039638,76.26741179231222,19.714021256486276,36.74918526143255,29.327059997171105
3748,72.27137638953045,50.12727689339797,0.2191333437236433,76.04359535761246,19.718094514384106,36.79328554341965,29.344922069306595
3749,72.24534647151401,50.17389811320723,0.21889894248882014,75.81693989138216,19.72221601403752,36.83775764273577,29.362781441190315
3750,72.22118552543864,50.220873055341855,0.21866810733187964,75.58734471861032,19.726310615905422,36.882415548199496,29.3805294029465
3751,72.19870070812347,50.268217704708086,0.21844081863047687,75.35487748196661,19.730415830897275,36.92737180036675,29.39831811019766
3752,72.17859220453624,50.31592906755382,0.21822928429527255,75.11954950635692,19.734531369771386,36.972550728855325,29.416037289969914
3753,72.16002609569912,50.36396620625457,0.21802101163812493,74.8813155706308,19.73863789200983,37.01821278987361,29.43378240868809
3754,72.14300149735412,50.412326127070315,0.21781598202078845,74.64012963698117,19.742809886052104,37.06417027885219,29.451721931488045
3755,72.12770054694542,50.461062979628366,0.2176141768050176,74.39668150180532,19.746896686152024,37.11045979743799,29.46992947303642
3756,72.11381847404131,50.510079040027705,0.21741557735256678,74.15581372931172,19.750991526641947,37.156969181721564,29.487863862041674
3757,72.10194197065057,50.55942695041052,0.21722016502519054,73.9169073387406,19.755131166925388,37.20377350893914,29.506087815478367
3758,72.09127481063788,50.6090661242789,0.21702792118464342,73.6791575634438,19.75924046297611,37.25085490174615,29.52445170626525
3759,72.08273787842653,50.658992052976146,0.21683882719267983,73.44146060715244,19.763356921218513,37.298233250145735,29.542826916198806
3760,72.07594703532668,50.709276118608955,0.21665286441105414,73.20371189842324,19.76748024792576,37.345926684518965,29.561252025266363
3761,72.07037062333912,50.75989692224556,0.2164700142015209,72.96540246553838,19.771647202501363,37.3938969846796,29.57985878246488
3762,72.06715476806214,50.81081393807778,0.21629025792583462,72.72595573452871,19.775820441070273,37.44218231905864,29.598594291864305
3763,72.06586852763685,50.862023312444045,0.21611357694574973,72.48506820005863,19.779999672887833,37.490784143657876,29.617592805187297
3764,72.06528300265062,50.9135024383227,0.21593995262302068,72.24265710936992,19.784184607209305,37.53966526936482,29.636687176134288
3765,72.06622651006283,50.965284881231746,0.21576936631940208,71.99852353647181,19.788300550604315,37.588805951412546,29.65585923240276
3766,72.06902551558089,51.017330023349004,0.2156154074510805,71.75257699820152,19.792478836951698,37.6381688535054,29.67516543965554
3767,72.07351807100645,51.069689873719945,0.21546471932645822,71.50472451417914,19.79670086974839,37.687827613243755,29.694604089718002
3768,72.07895381840753,51.122249330296064,0.21531728438085268,71.25481598749653,19.800929306598555,37.7377258545404,29.71423117038632
3769,72.08656259664787,51.175098560867895,0.21517308504958133,71.00292537426587,19.80512605808538,37.78797554686357,29.734046210473643
3770,72.09603198320141,51.228272150542296,0.2150321037679615,70.74907010392701,19.809346936367724,37.83846340009801,29.753936477805016
3771,72.10746983630081,51.281618301231454,0.21489432297131061,70.4935506818061,19.813554301145533,37.889151089843125,29.77364381240387
3772,72.12077929609141,51.335265268367564,0.214759725094946,70.23633335866988,19.817785586224964,37.9400022716776,29.7936765810639
3773,72.13523664736024,51.38922827597263,0.2146282925741853,69.97760980651832,19.822058873237825,37.99124075246091,29.81390237082285
3774,72.15102309865728,51.44342864351081,0.21450000784434575,69.71734830872853,19.826317770014985,38.04275123735405,29.834338725483708
3775,72.16861550068504,51.49788218784223,0.21437485334074483,69.45511962636516,19.830562289692097,38.09456922282115,29.85507828785997
3776,72.18815574680636,51.55258537366448,0.2142528114986999,69.19082517220842,19.83482926875209,38.146656069244415,29.875987153042285
3777,72.20895860017697,51.607572090842716,0.21413386475352852,68.92459121976943,19.839081290701753,38.198916252775355,29.897120066786012
3778,72.23057082719059,51.6628201233565,0.21401799554054793,68.65603644858999,19.843336443149035,38.25147869504216,29.918568254054847
3779,72.25385915483716,51.71828745390607,0.21390518629507566,68.38511097974543,19.847575384073025,38.3042668533808,29.94038599911524
3780,72.27981682321271,51.774007881833874,0.21379541945242908,68.11187778769362,19.8518355472799,38.357298424421934,29.962644204976037
3781,72.30737459110996,51.829959105069754,0.2136886774479256,67.83657090199881,19.856079292469623,38.41062782721901,29.985003096707562
3782,72.33682106157991,51.88606241625074,0.21358494271688258,67.5595422348043,19.860344053448376,38.464234597722786,30.007815868451843
3783,72.36795794463664,51.94242757362745,0.21348419769461757,67.28092364737317,19.864572762141364,38.518212239839656,30.03096579721868
3784,72.40051432607504,51.99901365805962,0.21338642481644796,67.0006224769092,19.868802850851818,38.57250324935395,30.05441277097493
3785,72.43507970409027,52.05585482153121,0.21329160651769102,66.71860039541909,19.873053077105222,38.62706862626711,30.078210985115053
3786,72.47081469204835,52.11294756259037,0.21321182128204855,66.43442376682057,19.877304473876247,38.68181301254595,30.102228060379545
3787,72.50776347337455,52.17025125105479,0.21313519549741372,66.14770622997473,19.88155674891719,38.73682799338717,30.126648385972715
3788,72.54603156079307,52.227743180013746,0.21306171255338205,65.85850489305498,19.885809609980345,38.79205497148034,30.151489356899397
3789,72.58646256852131,52.28547586637228,0.21300469496646443,65.56721874767102,19.890044386465405,38.847492010974385,30.1767135842569
3790,72.62818228596501,52.34329676160771,0.21295051914538704,65.2741372593551,19.89427953352053,38.90321191941699,30.202225373488318
3791,72.67193364697476,52.40137108929232,0.2128991695533084,64.97954736360725,19.89849645316358,38.95915576982574,30.228040518200345
3792,72.71650745070565,52.45963876613275,0.21285063065338702,64.68328751082628,19.902751325093632,39.015434031674744,30.254137650477706
3793,72.76116299386092,52.51813391130975,0.21280488690878155,64.38536642564581,19.907006056911793,39.07193087288794,30.280625639443755
3794,72.80777109248844,52.57681549281816,0.21276192278265046,64.08590483558662,19.911260356370363,39.12866205171833,30.30744493410162
3795,72.85561083144212,52.635698276196976,0.2127217227381521,63.78457662086704,19.915532680096668,39.18564329361586,30.33457360409877
3796,72.90537301379932,52.69475959437426,0.2126842712384453,63.48270512481065,19.919804358969497,39.243038208826114,30.362044587093028
3797,72.95681917107535,52.75403355312293,0.2126495527466884,63.18272688829363,19.924075102220293,39.30071172359688,30.389892723630094
