滑油总管压力,1号电动滑油泵滑油出口压力,滑油总管温度,滑油总管流量,滑油总管再循环滑油流量,滑油压力调节阀开度指令,滑油压力调节阀开度反馈,2号电动滑油输送泵滑油出口压力,滑油温度调节阀开度指令,滑油温度调节阀开度反馈,汽轮主机模拟装置滑油入口调节阀阀门开度指令,汽轮主机模拟装置滑油入口调节阀开度反馈,滑油冷却器滑油进口温度,汽轮主机减速器模拟装置滑油入口调节阀开度指令,汽轮主机减速器模拟装置滑油入口调节阀开度反馈,滑油冷却器滑油出口温度,汽轮发电机组模拟装置滑油入口调节阀开度指令,汽轮发电机组模拟装置滑油入口调节阀开度反馈,汽轮主机模拟装置滑油入口流量,主推力轴承模拟装置滑油入口调节阀开度指令,主推力轴承模拟装置滑油入口调节阀开度反馈,汽轮主机模拟装置滑油入口压力,汽轮主机模拟装置调节阀阀门开度指令,汽轮主机模拟装置调节阀开度反馈,汽轮主机模拟装置滑油出口温度,汽轮主机减速器模拟装置调节阀阀门开度指令,汽轮主机减速器模拟装置调节阀开度反馈,汽轮主机减速器模拟装置滑油入口流量,汽轮发电机组模拟装置调节阀阀门开度指令,汽轮发电机组模拟装置调节阀开度反馈,汽轮主机减速器模拟装置滑油入口压力,主推力轴承模拟装置调节阀阀门开度指令,主推力轴承模拟装置调节阀开度反馈,汽轮主机减速器模拟装置滑油出口温度,汽轮凝水泵组模拟装置调节阀阀门开度指令,汽轮凝水泵组模拟装置调节阀开度反馈,汽轮发电机组模拟装置滑油入口流量,汽轮给水泵组模拟装置调节阀阀门开度指令,汽轮给水泵组模拟装置调节阀开度反馈,汽轮发电机组模拟装置滑油入口压力,汽轮滑油泵组模拟装置调节阀阀门开度指令,汽轮滑油泵组模拟装置调节阀开度反馈,汽轮发电机组模拟装置滑油出口温度,汽轮辅循环水泵模拟装置调节阀阀门开度指令,汽轮辅循环水泵模拟装置调节阀开度反馈,主推力轴承模拟装置滑油入口流量,滑油加热器1号功率,滑油加热器1号加热器出口温度,主推力轴承模拟装置滑油入口压力,滑油加热器2号功率,滑油加热器2号加热器出口温度,主推力轴承模拟装置滑油出口温度,汽轮凝水泵组模拟装置滑油入口流量,汽轮凝水泵组模拟装置滑油入口压力,汽轮凝水泵组模拟装置滑油出口温度,汽轮给水泵组模拟装置滑油入口流量,汽轮给水泵组模拟装置滑油入口压力,汽轮给水泵组模拟装置滑油出口温度,汽轮滑油泵组模拟装置滑油入口流量,汽轮滑油泵组模拟装置滑油入口压力,汽轮滑油泵组模拟装置滑油出口温度,汽轮辅循环水泵模拟装置滑油入口流量,汽轮辅循环水泵模拟装置滑油入口压力,汽轮辅循环水泵模拟装置滑油出口温度,电动滑油泵1号变频泵转速指令,电动滑油泵1号变频泵转速反馈,电动滑油泵2号变频泵转速指令,电动滑油泵2号变频泵转速反馈,滑油冷却器1号滑油入口压力,滑油冷却器1号滑油出口压力,滑油冷却器1号冷却水入口温度,滑油冷却器1号冷却水出口温度
0.16305,0.50284,39.4062,70.8625,20.6531,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4,50.0,50.1125,39.0813,25.0,24.9937,13.815,63.0,62.8812,0.077875,32.0,31.8812,35.1625,41.0,41.25,21.9669,22.0,21.825,0.0665938,57.0,56.9562,37.4562,31.0,30.5625,10.1588,16.0,15.4563,0.0853437,29.0,28.7687,33.3563,25.0,24.625,3.16344,0.393748,33.0563,0.0694063,0.534377,33.9188,36.9062,1.08312,0.07225,34.75,1.09125,0.0725625,33.2375,1.40312,0.0816562,35.725,1.17125,0.074625,34.2438,421.8,424.482,0.0,0.0924933,0.16625,0.154375,35.2625,36.8812
0.16305,0.50284,39.4062,70.4625,20.5875,14.0,13.5,0.00175784,0.0,-0.125,38.0,38.1125,39.4,50.0,50.1063,39.0875,25.0,24.9937,13.7025,63.0,62.8812,0.072875,32.0,31.8812,35.1625,41.0,41.2562,21.7525,22.0,21.825,0.0665938,57.0,56.9437,37.4625,31.0,30.5625,10.1194,16.0,15.4563,0.080625,29.0,28.775,33.375,25.0,24.6188,3.14937,0.393748,33.0844,0.0694063,0.534377,33.8906,36.9125,1.07531,0.0673438,34.7812,1.08344,0.0725625,33.2438,1.39313,0.0816562,35.7188,1.165,0.074625,34.2625,419.078,421.153,0.0,0.184987,0.16225,0.1495,35.2625,36.8812
0.16305,0.50284,39.4,70.1875,20.5219,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0875,25.0,24.9937,13.6163,63.0,62.8812,0.072875,32.0,31.8812,35.1625,41.0,41.2562,21.5906,22.0,21.825,0.0665938,57.0,56.9562,37.4625,31.0,30.5625,10.0575,16.0,15.4563,0.080625,29.0,28.7687,33.3938,25.0,24.6188,3.13531,0.393748,33.0844,0.0694063,0.534377,33.9188,36.9375,1.07031,0.0673438,34.7812,1.07438,0.0725625,33.2625,1.38563,0.0816562,35.7188,1.15969,0.074625,34.2625,416.601,418.562,0.0,0.184987,0.16225,0.1495,35.2687,36.8812
0.15825,0.50284,39.4,69.75,20.475,14.0,13.4875,0.00175784,0.0,-0.11875,38.0,38.1188,39.4062,50.0,50.1125,39.0875,25.0,24.9937,13.5562,63.0,62.8812,0.072875,32.0,31.8812,35.1625,41.0,41.2562,21.4812,22.0,21.825,0.0665938,57.0,56.9437,37.4625,31.0,30.5625,10.0012,16.0,15.45,0.080625,29.0,28.7687,33.3938,25.0,24.625,3.12156,0.421871,33.0844,0.0694063,0.534377,33.9188,36.9375,1.06031,0.0673438,34.7812,1.06719,0.0725625,33.2625,1.37812,0.0816562,35.7375,1.15469,0.074625,34.275,414.126,416.897,0.0,0.0924933,0.16225,0.1495,35.2625,36.8812
0.15825,0.50284,39.4062,69.1625,20.3438,14.0,13.4875,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0875,25.0,24.9937,13.4963,63.0,62.8812,0.072875,32.0,31.8812,35.1688,41.0,41.25,21.3719,22.0,21.825,0.0619687,57.0,56.9562,37.4625,31.0,30.5625,9.96,16.0,15.4563,0.080625,29.0,28.7687,33.4062,25.0,24.625,3.10812,0.281256,33.0844,0.0694063,0.534377,33.9188,36.9375,1.05438,0.0673438,34.7875,1.05969,0.0725625,33.2687,1.36844,0.0773125,35.7375,1.14969,0.0698438,34.275,411.648,414.123,0.0,0.0924933,0.157125,0.145125,35.2625,36.8812
0.15825,0.50284,39.4062,68.825,20.2688,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4125,50.0,50.1125,39.0875,25.0,24.9937,13.4138,63.0,62.8812,0.072875,32.0,31.8812,35.1688,41.0,41.25,21.1487,22.0,21.825,0.0619687,57.0,56.9437,37.4625,31.0,30.5625,9.90563,16.0,15.45,0.0763125,29.0,28.7687,33.4125,25.0,24.6188,3.08594,0.393748,33.0844,0.06475,0.534377,33.9188,36.9375,1.04813,0.0673438,34.7875,1.0525,0.0676875,33.2875,1.36063,0.0773125,35.75,1.14156,0.0698438,34.2875,409.173,412.457,0.0,0.0924933,0.157125,0.145125,35.2625,36.8812
0.15315,0.50284,39.4062,68.425,20.1562,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0875,25.0,24.9937,13.3163,63.0,62.8937,0.0682812,32.0,31.8812,35.1875,41.0,41.25,21.0219,22.0,21.825,0.0619687,57.0,56.9437,37.4625,31.0,30.5625,9.8325,16.0,15.4563,0.0763125,29.0,28.7687,33.4188,25.0,24.6188,3.06906,0.365625,33.0656,0.06475,0.534377,33.9188,36.9375,1.04,0.063125,34.7812,1.04219,0.0676875,33.3188,1.35312,0.0773125,35.7625,1.13531,0.0698438,34.2875,406.698,408.018,0.0,0.0924933,0.157125,0.145125,35.2625,36.8812
0.15315,0.50284,39.4062,67.9875,20.0625,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0813,25.0,24.9937,13.23,63.0,62.8812,0.0682812,32.0,31.8812,35.1875,41.0,41.2562,20.8469,22.0,21.825,0.0619687,57.0,56.9437,37.4625,31.0,30.5625,9.77813,16.0,15.4563,0.0763125,29.0,28.7687,33.4437,25.0,24.625,3.05063,0.25312,33.0844,0.06475,0.534377,33.8906,36.9438,1.03281,0.063125,34.7812,1.035,0.0676875,33.3188,1.34562,0.0773125,35.7562,1.12781,0.0698438,34.2875,404.223,406.352,0.0,0.0924933,0.151875,0.14,35.2625,36.8812
0.15315,0.50284,39.4125,67.65,19.9688,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1125,39.0875,25.0,24.9937,13.1438,63.0,62.8812,0.0682812,32.0,31.8812,35.1875,41.0,41.2562,20.6937,22.0,21.825,0.0619687,57.0,56.9437,37.4562,31.0,30.5625,9.70312,16.0,15.4563,0.0763125,29.0,28.7687,33.45,25.0,24.6188,3.03344,0.25312,33.0844,0.06475,0.534377,33.9188,36.9562,1.02656,0.063125,34.7875,1.0275,0.0676875,33.325,1.33625,0.0773125,35.7687,1.12,0.065625,34.3,401.748,403.762,0.0,0.0924933,0.151875,0.14,35.2625,36.8812
0.14845,0.50284,39.425,67.1625,19.9031,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1063,39.0875,25.0,24.9937,13.0425,63.0,62.8812,0.0682812,32.0,31.8812,35.1875,41.0,41.2562,20.5231,22.0,21.825,0.0575937,57.0,56.9437,37.4812,31.0,30.5625,9.645,16.0,15.4563,0.072125,29.0,28.7687,33.4625,25.0,24.6188,3.01969,0.337502,33.0844,0.06475,0.534377,33.9188,36.9688,1.02062,0.063125,34.7812,1.02031,0.063625,33.35,1.32875,0.0729063,35.7938,1.11125,0.065625,34.2938,399.273,402.19,0.0,0.0924933,0.151875,0.14,35.2687,36.8812
0.14845,0.50284,39.4125,66.825,19.8,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1188,39.4125,50.0,50.1125,39.0875,25.0,24.9937,12.96,63.0,62.8812,0.0682812,32.0,31.8812,35.1875,41.0,41.2562,20.3613,22.0,21.825,0.0575937,57.0,56.9437,37.4812,31.0,30.5625,9.59062,16.0,15.4563,0.072125,29.0,28.7687,33.4813,25.0,24.6188,2.99594,0.393748,33.1781,0.06475,0.534377,33.9188,36.9688,1.01313,0.063125,34.7812,1.01156,0.063625,33.35,1.32187,0.0729063,35.7938,1.10469,0.065625,34.3,396.551,397.657,0.0,0.0924933,0.147,0.135875,35.2687,36.8812
0.14845,0.50284,39.4125,66.3875,19.7437,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1063,39.0875,25.0,24.9937,12.8625,63.0,62.8812,0.064125,32.0,31.8812,35.175,41.0,41.2562,20.1906,22.0,21.825,0.0575937,57.0,56.9562,37.4812,31.0,30.5625,9.54562,16.0,15.4563,0.072125,29.0,28.7687,33.4938,25.0,24.625,2.9775,0.393748,33.0844,0.0604375,0.534377,33.9188,36.9688,1.00625,0.0589063,34.7812,1.00469,0.063625,33.3563,1.3125,0.0729063,35.8,1.09625,0.065625,34.3,394.076,395.9,0.0,-0.0924933,0.147,0.135875,35.2687,36.8812
0.14425,0.50284,39.4125,66.0875,19.6688,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1063,39.1063,25.0,24.9937,12.7837,63.0,62.8812,0.064125,32.0,31.8812,35.175,41.0,41.2562,20.0506,22.0,21.825,0.0575937,57.0,56.9437,37.4812,31.0,30.5625,9.48,16.0,15.45,0.072125,29.0,28.7687,33.5125,25.0,24.6188,2.95781,0.393748,33.0563,0.0604375,0.534377,33.9,36.9688,0.999687,0.0589063,34.7812,0.995937,0.063625,33.3687,1.30563,0.0729063,35.8125,1.08969,0.065625,34.3063,391.596,393.403,0.0,0.0924933,0.147,0.135875,35.2687,36.8625
0.14425,0.50284,39.4125,65.575,19.6219,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1063,39.1063,25.0,24.9937,12.6975,63.0,62.8812,0.064125,32.0,31.8812,35.175,41.0,41.2562,19.9588,22.0,21.825,0.0575937,57.0,56.9437,37.4875,31.0,30.5625,9.435,16.0,15.45,0.072125,29.0,28.7687,33.5125,25.0,24.625,2.94,0.365625,33.0844,0.0604375,0.534377,33.9,36.9438,0.99125,0.0589063,34.7812,0.989062,0.063625,33.3687,1.29625,0.0729063,35.8312,1.07938,0.0610625,34.3188,389.121,391.645,0.0,0.184987,0.1415,0.13125,35.2687,36.875
0.14425,0.50284,39.4125,65.175,19.5281,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1063,39.1063,25.0,24.9937,12.63,63.0,62.8812,0.064125,32.0,31.8812,35.1875,41.0,41.2562,19.8013,22.0,21.825,0.053,57.0,56.9437,37.4812,31.0,30.5625,9.39562,16.0,15.45,0.06725,29.0,28.7687,33.5187,25.0,24.625,2.91312,0.365625,33.0844,0.0604375,0.534377,33.9188,36.9688,0.984063,0.0589063,34.7687,0.983125,0.0589688,33.3687,1.28437,0.0729063,35.8312,1.06844,0.0610625,34.3312,386.646,387.39,0.0,0.184987,0.1415,0.13125,35.2687,36.8563
0.1399,0.50284,39.425,64.775,19.4437,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1063,39.1125,25.0,24.9937,12.5213,63.0,62.8812,0.064125,32.0,31.8812,35.175,41.0,41.2562,19.6437,22.0,21.825,0.053,57.0,56.9437,37.4875,31.0,30.5625,9.35625,16.0,15.4563,0.06725,29.0,28.7687,33.5187,25.0,24.625,2.89,0.337502,33.0844,0.0604375,0.534377,33.9188,36.9688,0.97875,0.0589063,34.7687,0.971563,0.0589688,33.3875,1.27469,0.0682812,35.8187,1.05844,0.0610625,34.3312,384.166,385.632,0.0,0.0924933,0.1415,0.13125,35.2687,36.8625
0.1399,0.50284,39.425,64.4125,19.3875,14.0,13.5,0.00175784,0.0,-0.11875,38.0,38.1125,39.4062,50.0,50.1063,39.1063,25.0,24.9937,12.4613,63.0,62.8812,0.0600313,32.0,31.8812,35.1688,41.0,41.2562,19.5387,22.0,21.825,0.053,57.0,56.9437,37.4875,31.0,30.5625,9.29437,16.0,15.4563,0.06725,29.0,28.775,33.5437,25.0,24.6188,2.86875,0.393748,33.0844,0.0604375,0.534377,33.9,36.9688,0.970937,0.0544375,34.7812,0.963438,0.0589688,33.4,1.26688,0.0682812,35.8437,1.05125,0.0610625,34.3312,381.691,383.783,0.0,0.0924933,0.13725,0.12725,35.2687,36.8625
